kalmykia	קלמיקיה
zikri	זיכרי
padrão	פדראו
tigre	תגרים
prolactin	פרולקטין
mersin	מרסין
multiplexer	מרבב
cetacea	לווייתנאים
dysplasia	דיספלזיה
salinity	מליחות
lancashire	לנקשייר
nowruz	נורוז
threshing	דישה
islamization	אסלאמיזציה
locri	לוקרי
amritsar	אמריצר
loneliness	בדידות
ariadne	אריאדנה
melancholia	מלנכוליה
tonnage	תפוסה
mouthpiece	פייה
verbeia	ורביה
precipitation	משקעים
capparis	צלף
cybernetics	קיברנטיקה
eels	אילז
mestre	מסטרה
shofar	שופר
hainan	האינאן
villeurbanne	וילרבאן
indium	אינדיום
riva	ריווה
electro	אלקטרו
digamma	וואו
vorarlberg	פורארלברג
kuber	קובר
alpaca	אלפקה
burqin	בירקין
canberra	קנברה
senaki	סנקי
hamza	ء
bartender	מוזג
pentathlon	פנטאתלון
byzantium	ביזנטיון
kesha	קשה
iroquois	אירוקווי
potion	שיקוי
illui	עילוי
immersion	השתקעות
hera	הרה
jamshid	יימה
aphrodisiac	אפרודיזיאק
kazanlak	קאזאנלק
kolkhoz	קולחוז
derbyshire	דרבישייר
typeface	גופן
ankh	ענח
polarization	קיטוב
canonization	קאנוניזציה
pointer	מצביע
tirzah	תרצה
feudalism	פיאודליזם
aemilianus	איימליאנוס
hug	חיבוק
scania	סקונה
falafel	פלאפל
croats	קרואטים
adenine	אדנין
bogotá	בוגוטה
aveyron	אוורון
beeroth	בארות
marche	מארקה
peoplemover	פיפלמובר
gehenna	גהנה
surfboard	גלשן
toyota	טויוטה
serotonin	סרוטונין
prediction	חיזוי
campania	קמפניה
azzoun	עזון
cichlid	אמנוניים
overijssel	אובראיסל
subway	סאבוויי
maddan	מאדאן
garter	בירית
dubna	דובנה
ziv	זיו
brisbane	בריזביין
grader	מפלסת
milcah	מילכה
carboniferous	קרבון
skewer	שיפוד
kos	קוס
bihać	ביחאץ
koi	קוי
berat	בראט
ramzor	רמזור
antares	אנטארס
carburetor	מאייד
keturah	קטורה
conservatism	שמרנות
pecan	פקאן
mechitza	מחיצה
pretzel	בייגלה
lox	לקס
kebab	קבב
oded	עודד
minos	מינוס
trousers	מכנסיים
yotvata	יטבתה
pluton	פלוטון
brahma	ברהמה
pox	אבעבועות
domestication	ביות
uterus	רחם
zrahia	זרחיה
lillehammer	לילהאמר
memory	זיכרון
gilbert	גילברט
houston	יוסטון
acid	חומצה
berger	ברגר
incident	תקרית
adler	אדלר
cooper	קופר
togo	טוגו
barry	בארי
de	דה
nick	ניק
avi	אבי
margaret	מרגרט
chemistry	כימיה
emily	אמילי
hermes	הרמס
atlantis	אטלנטיס
harris	האריס
july	ביולי
filippo	פיליפו
eilat	אילת
mythology	מיתולוגיה
blair	בלייר
euler	אוילר
nelson	נלסון
bentley	בנטלי
castle	טירת
ferguson	פרגוסון
franco	פרנקו
vladimir	ולדימיר
russell	ראסל
cairo	קהיר
lattice	סריג
salad	סלט
brooklyn	ברוקלין
airbus	איירבוס
tarzan	טרזן
andromeda	אנדרומדה
alphonse	אלפונס
feminism	פמיניזם
pluto	פלוטו
bialik	ביאליק
vitamin	ויטמין
netzer	נצר
realism	ריאליזם
perkins	פרקינס
magnum	מגנום
netanyahu	נתניהו
bristol	בריסטול
cocktail	קוקטייל
tennessee	טנסי
naor	נאור
captain	קפטן
dan	דן
grant	גרנט
ofer	עופר
abel	אבל
ashkenazi	אשכנזי
gambit	גמביט
miami	מיאמי
crawford	קרופורד
armstrong	ארמסטרונג
aladdin	אלאדין
howard	הווארד
hawaii	הוואי
marshall	מרשל
kim	קים
dollar	דולר
roberts	רוברטס
ted	טד
salamis	סלמיס
meir	מאיר
donovan	דונובן
pioneer	פיוניר
hayes	הייז
amnon	אמנון
browning	בראונינג
omega	אומגה
minnesota	מינסוטה
massacre	טבח
luna	לונה
morphology	מורפולוגיה
newfoundland	ניופאונדלנד
ishmael	ישמעאל
shalev	שלו
tomer	תומר
steiner	שטיינר
juan	חואן
aries	טלה
porto	פורטו
damascus	דמשק
steyr	שטייר
uriel	אוריאל
stargate	סטארגייט
brandon	ברנדון
atkins	אטקינס
structure	מבנה
siegfried	זיגפריד
hedwig	הדוויג
zionism	ציונות
maxwell	מקסוול
tower	מגדל
shrek	שרק
domenico	דומניקו
victoria	ויקטוריה
hamilton	המילטון
mitchell	מיטשל
gas	גז
value	ערך
melissa	מליסה
lior	ליאור
naim	נעים
newman	ניומן
claudio	קלאודיו
anat	ענת
julius	יוליוס
avital	אביטל
herzl	הרצל
venera	ונרה
robertson	רוברטסון
christian	כריסטיאן
helena	הלנה
emma	אמה
hair	שיער
languages	שפות
sergio	סרחיו
quark	קווארק
constructivism	קונסטרוקטיביזם
cancer	סרטן
erasmus	ארסמוס
gheorghe	גאורגה
yakir	יקיר
boyle	בויל
anthropology	אנתרופולוגיה
schmitt	שמיט
marina	מרינה
moreno	מורנו
eshkol	אשכול
satellite	לוויין
molly	מולי
reflex	רפלקס
darren	דארן
linus	לינוס
ronen	רונן
fleming	פלמינג
zulu	זולו
hurricane	הוריקן
raz	רז
golf	גולף
hamlet	המלט
winnipeg	ויניפג
teddy	טדי
code	קוד
henry	הנרי
fernando	פרננדו
lawrence	לורנס
process	תהליך
dimension	ממד
yukon	יוקון
bernoulli	ברנולי
guillaume	גיום
sherman	שרמן
clara	קלרה
ronald	רונלד
marketing	שיווק
eddie	אדי
tate	טייט
bloch	בלוך
wright	רייט
penguin	פינגווין
marco	מרקו
frank	פרנק
antonio	אנטוניו
affair	פרשת
engine	מנוע
bruno	ברונו
bobby	בובי
kiryat	קריית
physiology	פיזיולוגיה
iphigenia	איפיגניה
nitra	ניטרה
koch	קוך
millwall	מילוול
pokémon	פוקימון
lloyd	לויד
requiem	רקוויאם
lerner	לרנר
griffith	גריפית
wellington	ולינגטון
clifford	קליפורד
olga	אולגה
abu	אבו
mary	מרי
bernhard	ברנהרד
shannon	שאנון
ankara	אנקרה
lincoln	לינקולן
katz	כץ
hardy	הארדי
transformers	רובוטריקים
milton	מילטון
ezra	עזרא
julio	חוליו
feldman	פלדמן
spartacus	ספרטקוס
enrico	אנריקו
seymour	סימור
gandhi	גנדי
kepler	קפלר
market	שוק
navigator	נווט
testimony	עדות
alberta	אלברטה
ein	עין
rudolf	רודולף
street	רחוב
midrash	מדרש
wilkins	וילקינס
montgomery	מונטגומרי
bates	בייטס
elimelech	אלימלך
aldo	אלדו
guinness	גינס
martini	מרטיני
kraft	קראפט
mirage	מיראז
hopkins	הופקינס
christine	כריסטין
vertigo	ורטיגו
nina	נינה
almog	אלמוג
eros	ארוס
troll	טרול
chair	כיסא
oppenheimer	אופנהיימר
marion	מריון
vicente	ויסנטה
pudding	פודינג
polynomial	פולינום
finkelstein	פינקלשטיין
concrete	בטון
olympia	אולימפיה
visconti	ויסקונטי
angle	זווית
augusta	אוגוסטה
walker	ווקר
ram	רם
valley	עמק
dolphin	דולפין
lindsay	לינדזי
ramos	ראמוס
noise	רעש
gamma	גמא
ferrer	פרר
distance	מרחק
sanders	סנדרס
valentin	ולנטין
goldman	גולדמן
superbus	סופרבוס
mahler	מאהלר
benson	בנסון
geva	גבע
wagtail	נחליאלי
arazi	ארזי
gazit	גזית
bologna	בולוניה
ophrys	דבורנית
bertrand	ברטראן
merlin	מרלין
atheism	אתאיזם
rosetta	רוזטה
australopithecus	אוסטרלופיתקוס
morgenstern	מורגנשטרן
solo	סולו
garrett	גארט
alfie	אלפי
lehmann	להמן
arsenal	ארסנל
menelaus	מנלאוס
markov	מרקוב
morrison	מוריסון
diesel	דיזל
advertising	פרסום
naturalism	נטורליזם
samantha	סמנתה
radius	רדיוס
entropy	אנטרופיה
eran	ערן
itzik	איציק
xanadu	זאנאדו
kodori	קודורי
goldschmidt	גולדשמידט
dekel	דקל
sigma	סיגמא
moritz	מוריץ
gerd	גרד
spoonbill	כפן
bora	בורה
geller	גלר
holm	הולם
crystallography	קריסטלוגרפיה
eiffel	אייפל
wolfson	וולפסון
karen	קארן
popper	פופר
landau	לנדאו
manfred	מנפרד
alec	אלק
mango	מנגו
goren	גורן
mira	מירה
prometheus	פרומתאוס
carmen	כרמן
nilsson	נילסון
riga	ריגה
profile	פרופיל
amplifier	מגבר
franz	פרנץ
martin	מרטין
palace	ארמון
magnus	מגנוס
manuel	מנואל
grammar	דקדוק
alpha	אלפא
francis	פרנסיס
rené	רנה
herbert	הרברט
nash	נאש
baden	באדן
pietro	פייטרו
sullivan	סאליבן
erich	אריך
mason	מייסון
andersen	אנדרסן
dublin	דבלין
lot	לוט
blake	בלייק
derek	דרק
vancouver	ונקובר
suzuki	סוזוקי
henderson	הנדרסון
albatross	אלבטרוס
vostok	ווסטוק
clinton	קלינטון
alexandra	אלכסנדרה
horse	סוס
baker	בייקר
hunter	האנטר
texas	טקסס
turner	טרנר
evans	אוונס
kazan	קאזאן
godfather	הסנדק
twilight	דמדומים
schmidt	שמידט
palermo	פלרמו
chrysler	קרייזלר
yael	יעל
eli	אלי
wolfgang	וולפגנג
chaos	כאוס
antibacterial	אנטיביוטיקה
proportionality	מידתיות
trocadero	טרוקדרו
window	חלון
tironut	טירונות
gecko	שממיתיים
shechita	שחיטה
postscript	פוסטסקריפט
homesh	חומש
lucius	לוקיוס
forum	פורום
batman	באטמן
pierre	פייר
geometry	גאומטריה
arad	ארד
joint	מפרק
radu	ראדו
maimon	מימון
colorado	קולורדו
messina	מסינה
helen	הלן
springfield	ספרינגפילד
wisconsin	ויסקונסין
dexter	דקסטר
programming	תכנות
gabriel	גבריאל
identity	זהות
disaster	אסון
lee	לי
donetsk	דונצק
idaho	איידהו
shamir	שמיר
montfort	מונפור
pollock	פולוק
seinfeld	סיינפלד
honorius	הונוריוס
tiraspol	טירספול
wikipedia	ויקיפדיה
morgan	מורגן
hotel	מלון
arkansas	ארקנסו
curie	קירי
guildhall	גילדהול
tunnel	מנהרת
salamanca	סלמנקה
anita	אניטה
fred	פרד
livorno	ליבורנו
robbins	רובינס
gaius	גאיוס
pini	פיני
kharkiv	חרקוב
zorro	זורו
collins	קולינס
mario	מריו
shirley	שירלי
kursk	קורסק
bradley	בראדלי
lambert	למברט
mackenzie	מקנזי
columbus	קולומבוס
miss	מיס
randolph	רנדולף
poisson	פואסון
canterbury	קנטרברי
mozambique	מוזמביק
marcelo	מרסלו
eldad	אלדד
fuller	פולר
pittsburgh	פיטסבורג
rockefeller	רוקפלר
netanya	נתניה
alabama	אלבמה
hannibal	חניבעל
colin	קולין
edna	עדנה
davis	דייוויס
horowitz	הורוביץ
mikhail	מיכאיל
density	צפיפות
seattle	סיאטל
oxford	אוקספורד
carr	קאר
emerson	אמרסון
eleanor	אלינור
march	במרץ
computer	מחשב
clock	שעון
atoll	אטול
harari	הררי
kyle	קייל
wayne	ויין
hamburg	המבורג
tornado	טורנדו
schiff	שיף
bar	בר
montenegro	מונטנגרו
cat	חתול
system	מערכת
robinson	רובינסון
regression	רגרסיה
grossman	גרוסמן
netafim	נטפים
nestor	נסטור
haymarket	היימרקט
pisano	פיזאנו
mauro	מאורו
woody	וודי
macaque	מקוק
gyula	גיולה
whitney	ויטני
kingsley	קינגסלי
brady	בריידי
dorothy	דורותי
glover	גלובר
plasma	פלזמה
bukhara	בוכרה
margalit	מרגלית
shlomi	שלומי
detroit	דטרויט
baum	באום
papyrus	פפירוס
bravo	בראבו
immunity	חסינות
tamar	תמר
alfredo	אלפרדו
gallagher	גלאגר
nielsen	נילסן
salzburg	זלצבורג
bohr	בוהר
carlebach	קרליבך
complexity	סיבוכיות
ashley	אשלי
paraná	פרנה
onias	חוניו
craig	קרייג
dub	דאב
cottage	קוטג
dora	דורה
ali	עלי
floyd	פלויד
collision	התנגשות
kensington	קנזינגטון
zalman	זלמן
marley	מארלי
nova	נובה
morton	מורטון
yuval	יובל
josé	חוסה
andré	אנדרה
leonardo	לאונרדו
siemens	סימנס
mosaic	פסיפס
gondar	גונדר
rohan	רוהאן
salvia	מרווה
adobe	אדובי
pastel	פסטל
drori	דרורי
eruv	עירוב
leyte	לייטה
derry	דרי
damon	דיימון
pasternak	פסטרנק
hyacinth	יקינתון
meru	מרו
skokie	סקוקי
functionalism	פונקציונליזם
grizzly	גריזלי
lasker	לסקר
cromford	קרומפורד
rosenblum	רוזנבלום
spandau	שפנדאו
fanny	פאני
justinian	יוסטיניאנוס
bath	באת
mountbatten	מאונטבטן
vendetta	ונדטה
complement	משלים
lichtenberg	ליכטנברג
karate	קראטה
arizona	אריזונה
pareto	פארטו
kapoor	קאפור
argov	ארגוב
monopoly	מונופול
prada	פראדה
pisa	פיזה
emirate	אמירות
priestley	פריסטלי
fedora	פדורה
marmalade	מרמלדה
ahaziah	אחזיה
patricia	פטרישה
emission	פליטה
safari	ספארי
pliny	פליניוס
anghiari	אנגיארי
hex	הקס
tyrol	טירול
shraga	שרגא
spitzer	שפיצר
agricola	אגריקולה
sarid	שריד
westphalia	וסטפאליה
rivlin	ריבלין
vojvodina	וויבודינה
raviv	רביב
radcliffe	רדקליף
genetic	גנטי
disco	דיסקו
volterra	וולטרה
jehoahaz	יהואחז
eccentricity	אקסצנטריות
cambrai	קמברה
albrecht	אלברכט
redman	רדמן
olmert	אולמרט
poincaré	פואנקרה
waste	פסולת
bass	בס
swissair	סוויסאייר
ira	איירה
bilbao	בילבאו
feinstein	פיינשטיין
opus	אופוס
blockade	הסגר
maor	מאור
pinkas	פנקס
yigal	יגאל
artaxerxes	ארתחששתא
zrenjanin	זרניאנין
reynolds	ריינולדס
coherence	קוהרנטיות
amidar	עמידר
homology	הומולוגיה
leadership	מנהיגות
nicomedes	ניקומדס
belshazzar	בלשאצר
condor	קונדור
scalar	סקלר
brenda	ברנדה
jürgen	יורגן
lux	לוקס
libya	לוב
click	קליק
yak	יאק
hecht	הכט
kotler	קוטלר
wertheimer	ורטהיימר
transnistria	טרנסניסטריה
mississippi	מיסיסיפי
sheridan	שרידן
regev	רגב
kruger	קרוגר
definition	הגדרה
gunnar	גונאר
buick	ביואיק
prophecy	נבואה
observation	תצפית
geisha	גיישה
erin	ארין
pavia	פאביה
cook	קוק
stadium	אצטדיון
kevin	קווין
nebula	ערפילית
ferdinand	פרדיננד
consonant	עיצורים
rabin	רבין
uri	אורי
pasha	פאשה
newton	ניוטון
dune	חולית
ohio	אוהיו
miguel	מיגל
learning	למידה
manhattan	מנהטן
cobra	קוברה
liverpool	ליברפול
brunei	ברוניי
calderón	קלדרון
software	תוכנה
caroline	קרוליין
venus	ונוס
hornbill	קלאו
quail	שליו
brandenburg	ברנדנבורג
jorge	חורחה
hughes	יוז
zadok	צדוק
del	דל
homo	הומו
vincent	וינסנט
problem	בעיית
madagascar	מדגסקר
hiller	הילר
franklin	פרנקלין
eliezer	אליעזר
friedrich	פרידריך
austin	אוסטין
munich	מינכן
conference	ועידת
lucas	לוקאס
friedman	פרידמן
gibraltar	גיברלטר
albert	אלברט
corinth	קורינתוס
dror	דרור
claudia	קלאודיה
montserrat	מונטסראט
portland	פורטלנד
terry	טרי
darwin	דרווין
pantheon	פנתאון
torres	טורס
orlando	אורלנדו
gibbs	גיבס
hawkins	הוקינס
zanzibar	זנזיבר
ricky	ריקי
reef	שונית
giant	ענק
audi	אאודי
bone	עצם
eliyahu	אליהו
federico	פדריקו
riemann	רימן
ernesto	ארנסטו
psalms	תהילים
lazio	לאציו
missouri	מיזורי
irina	אירינה
ingushetia	אינגושטיה
default	מחדל
zahavi	זהבי
heliodorus	הליודורוס
enigma	אניגמה
catania	קטניה
ghent	גנט
florida	פלורידה
simpson	סימפסון
hyperplasia	היפרפלזיה
homosexuality	הומוסקסואליות
latrun	לטרון
dam	סכר
haifa	חיפה
kurt	קורט
square	כיכר
adolf	אדולף
diego	דייגו
nancy	ננסי
express	אקספרס
yuri	יורי
toronto	טורונטו
santiago	סנטיאגו
neil	ניל
memorial	אנדרטת
siberian	סיבירי
neville	נוויל
buffalo	באפלו
attila	אטילה
tripoli	טריפולי
darling	דרלינג
stirling	סטירלינג
inbal	ענבל
mecklenburg	מקלנבורג
alexandria	אלכסנדריה
pullman	פולמן
heller	הלר
valencia	ולנסיה
ramot	רמות
basel	בזל
memphis	ממפיס
rick	ריק
beatrice	ביאטריס
fresco	פרסקו
nicanor	ניקנור
afek	אפק
alvin	אלווין
randall	רנדל
kenya	קניה
castro	קסטרו
rwanda	רואנדה
abulafia	אבולעפיה
scarlatti	סקרלטי
knife	סכין
zuma	זומה
hancock	הנקוק
beagle	ביגל
buddhism	בודהיזם
schwerin	שוורין
oedipus	אדיפוס
dwight	דווייט
allenby	אלנבי
shalom	שלום
luxembourg	לוקסמבורג
quartet	רביעיית
westminster	וסטמינסטר
kenneth	קנת
honda	הונדה
hess	הס
marx	מרקס
steinberg	שטיינברג
alaska	אלסקה
monroe	מונרו
truman	טרומן
bernardo	ברנרדו
rostov	רוסטוב
monica	מוניקה
dinar	דינר
lancaster	לנקסטר
michal	מיכל
hilton	הילטון
edgar	אדגר
post	פוסט
maxim	מקסים
epstein	אפשטיין
cave	מערת
lennon	לנון
diana	דיאנה
greenwich	גריניץ
nobility	אצולה
sexual	מינית
kelly	קלי
boeing	בואינג
masaryk	מסריק
nimrod	נמרוד
oviedo	אוביידו
shabazi	שבזי
kobi	קובי
lakhish	לכיש
sosa	סוסה
wolfram	וולפרם
carthage	קרתגו
bauer	באואר
zombie	זומבי
huygens	הויגנס
faust	פאוסט
desmond	דזמונד
ecology	אקולוגיה
klaus	קלאוס
galliano	גליאנו
goodman	גודמן
maggie	מגי
dylan	דילן
tonga	טונגה
te	טה
deutsch	דויטש
spa	ספא
lima	לימה
valentina	ולנטינה
sultan	סולטאן
paddington	פדינגטון
professor	פרופסור
woods	וודס
watts	ווטס
brodsky	ברודסקי
murcia	מורסיה
rape	אונס
uranium	אורניום
géza	גזה
perseus	פרסאוס
baltimore	בולטימור
lufthansa	לופטהנזה
mercury	מרקורי
bacharach	בכרך
cunningham	קנינגהם
antarctica	אנטארקטיקה
jacopo	יאקופו
axelrod	אקסלרוד
excalibur	אקסקליבר
curaçao	קוראסאו
clancy	קלנסי
madison	מדיסון
mitzvah	מצווה
corfu	קורפו
amstel	אמסטל
schumacher	שומאכר
niagara	ניאגרה
wallach	וולך
dori	דורי
epsilon	אפסילון
volkswagen	פולקסווגן
alberti	אלברטי
foster	פוסטר
hydrogen	מימן
chain	שרשרת
warburg	ורבורג
atzmon	עצמון
eliza	אלייזה
interchange	מחלף
triassic	טריאס
yoga	יוגה
fender	פנדר
coolidge	קולידג
lane	ליין
bermuda	ברמודה
dempsey	דמפסי
wagner	וגנר
admiral	אדמירל
arafat	ערפאת
literacy	אוריינות
kyrgyzstan	קירגיזסטן
costa	קוסטה
nemo	נמו
dixie	דיקסי
palau	פלאו
delhi	דלהי
stein	שטיין
gaza	עזה
golan	גולן
brian	בריאן
ludwig	לודוויג
game	משחק
commodore	קומודור
gay	גיי
pat	פט
neo	נאו
barrel	חבית
halifax	הליפקס
willem	וילם
ada	עדה
fallacy	כשל
laser	לייזר
veronica	ורוניקה
mordechai	מרדכי
danny	דני
explorer	אקספלורר
throne	כס
kramer	קרמר
elisha	אלישע
historian	היסטוריון
halperin	הלפרין
beedi	בידי
reineh	ריינה
blowup	יצרים
scholl	שול
deutsche	דויטשה
burke	בורק
eliran	אלירן
lipschitz	ליפשיץ
kahal	כחל
chromosome	כרומוזום
marciano	מרציאנו
ideology	אידאולוגיה
ammit	אמות
haemek	העמק
davidovich	דוידוביץ
chloride	כלוריד
mckinley	מקינלי
dida	דידה
goldfinger	גולדפינגר
mahogany	מהגוני
steinitz	שטייניץ
wehrmacht	ורמאכט
seleucus	סלאוקוס
azimuth	אזימוט
ilona	אילונה
amenhotep	אמנחותפ
pollux	פולוקס
lindenstrauss	לינדנשטראוס
trevi	טרווי
segev	שגב
guantánamo	גואנטנמו
brandt	ברנדט
biennale	ביאנלה
nickel	ניקל
almagor	אלמגור
yazdegerd	יזדגרד
nicopolis	ניקופוליס
mursili	מורשיליש
feinberg	פיינברג
salisbury	סולסברי
hispania	היספניה
bibi	ביבי
welding	ריתוך
saturn	סטורן
sucre	סוקרה
mattat	מתת
transcription	שעתוק
flynn	פלין
tofu	טופו
harish	חריש
mariano	מריאנו
structuralism	סטרוקטורליזם
chapelle	שאפל
pair	זוג
macro	מאקרו
shaked	שקד
kristol	קריסטול
microtus	נברן
iglesias	איגלסיאס
acrocephalus	קנית
voskhod	ווסחוד
graves	גרייבס
hypericum	פרע
kerioth	קריות
electronics	אלקטרוניקה
akira	אקירה
frumkin	פרומקין
casablanca	קזבלנקה
ortega	אורטגה
ruble	רובל
morocco	מרוקו
milstein	מילשטיין
kettle	קומקום
imre	אימרה
phasianus	פסיון
melamed	מלמד
morse	מורס
kasher	כשר
carnage	קרנג
pizza	פיצה
rialto	ריאלטו
kushnir	קושניר
genre	סוגה
tesla	טסלה
romano	רומנו
holborn	הוברן
vasa	ואסה
turbidity	עכירות
oasis	אואזיס
audrey	אודרי
nashville	נאשוויל
avalon	אבלון
cabaret	קברט
assisi	אסיזי
neruda	נרודה
budapest	בודפשט
lillian	ליליאן
allosaurus	אלוזאור
gabriela	גבריאלה
masada	מצדה
bust	פרוטומה
galileo	גלילאו
michaeli	מיכאלי
cinematheque	סינמטק
arbel	ארבל
echis	אפעה
almond	אלמונד
milwaukee	מילווקי
jörg	ירג
nephilim	נפיל
sauna	סאונה
howitzer	הוביצר
ungulate	פרסתנים
liam	ליאם
chalk	קירטון
schmid	שמיד
forbes	פורבס
banana	בננה
savoie	סבואה
hercules	הרקולס
kirschenbaum	קירשנבאום
libération	ליברסיון
petrel	יסעור
drucker	דרוקר
awad	עווד
goldwasser	גולדווסר
cináed	קיניאוד
megiddo	מגידו
yadin	ידין
ardipithecus	ארדיפיתקוס
peleg	פלג
strega	סטרגה
zeitlin	צייטלין
gustavo	גוסטבו
guillermo	גיירמו
talpiot	תלפיות
mandelbaum	מנדלבאום
shaham	שחם
doomsday	דומסדיי
ulrich	אולריך
sterling	סטרלינג
bering	ברינג
che	ﭺ
ostrovsky	אוסטרובסקי
seminar	סמינר
refrigerator	מקרר
kea	קיאה
sigebert	סיגברט
habakkuk	חבקוק
miri	מירי
vilner	וילנר
berg	ברג
acanthodactylus	שנונית
melanie	מלאני
schatz	שץ
turquoise	טורקיז
constantius	קונסטנטיוס
hobbit	הוביט
drummer	מתופף
pag	פג
taft	טאפט
cucumber	מלפפון
bellinzona	בלינצונה
canaan	כנען
equatoria	אקווטוריה
musketeer	מוסקטר
timișoara	טימישוארה
heinkel	היינקל
egon	אגון
acetylcholine	אצטילכולין
debbie	דבי
deus	דאוס
valencian	ולנסית
buganda	בוגנדה
lava	לבה
lust	תשוקה
gladiator	גלדיאטור
concordia	קונקורדיה
passiflora	שעונית
transplantation	השתלת
freeman	פרימן
dietrich	דיטריך
schreiber	שרייבר
triangulation	טריאנגולציה
grenadier	גרנדיר
lazar	לזר
lessing	לסינג
bratislava	ברטיסלאבה
handler	הנדלר
dagan	דגן
fashion	אופנה
reinhold	ריינהולד
generalization	הכללה
scream	צעקה
tudhaliya	תודחליאש
ramesses	רעמסס
hadid	חדיד
winograd	וינוגרד
linguistics	בלשנות
hummingbird	קוליבריים
barrios	באריוס
poria	פוריה
harvard	הרווארד
yao	יאו
skylon	סקיילון
reinhardt	ריינהרדט
infante	אינפנטה
schick	שיק
tsunami	צונמי
focus	מוקד
livni	לבני
anemia	אנמיה
theodora	תאודורה
villarrica	ויאריקה
nyquist	נייקוויסט
tatra	טאטרה
pandemic	מגפה
clio	קליאו
computing	מחשוב
yadlin	ידלין
acropolis	אקרופוליס
geiger	גייגר
topaz	טופז
boxer	בוקסר
diarra	דיארה
mintz	מינץ
cassiopeia	קסיופאה
benito	בניטו
capsicum	פלפלת
khan	חאן
watson	ווטסון
moshe	משה
barnes	בארנס
tokyo	טוקיו
pakistan	פקיסטן
dirac	דיראק
harvey	הארווי
istanbul	איסטנבול
nabi	נבי
johannes	יוהנס
harry	הארי
kfar	כפר
asher	אשר
drama	דרמה
brutus	ברוטוס
vietnam	וייטנאם
capital	הון
mozart	מוצרט
château	שאטו
energy	אנרגיה
prague	פראג
baku	באקו
ramla	רמלה
françois	פרנסואה
luca	לוקה
maximilian	מקסימיליאן
real	ריאל
copenhagen	קופנהגן
proton	פרוטון
poitiers	פואטייה
artery	עורק
parkinson	פרקינסון
driving	נהיגה
córdoba	קורדובה
strauss	שטראוס
cake	עוגת
adam	אדם
rachel	רחל
said	סעיד
al	אל
tamarin	טמרין
shabbat	שבת
ontario	אונטריו
arnon	ארנון
torah	תורה
cover	כיסוי
ehud	אהוד
joachim	יואכים
body	גוף
ramat	רמת
tree	עץ
terrier	טרייר
bahrain	בחריין
dino	דינו
awareness	מודעות
oracle	אורקל
warsaw	ורשה
griffin	גריפין
warner	וורנר
fiat	פיאט
rosenthal	רוזנטל
base	בסיס
norton	נורטון
gottfried	גוטפריד
ibrahim	איברהים
triumph	טריומף
rob	רוב
slavery	עבדות
natalia	נטליה
rio	ריו
doubt	ספק
armour	שריון
auster	אוסטר
therapy	טיפול
empire	האימפריה
ryan	ראיין
menachem	מנחם
itamar	איתמר
geology	גאולוגיה
hoover	הובר
nara	נארה
fossil	מאובן
slovakia	סלובקיה
alon	אלון
ecuador	אקוודור
hudson	הדסון
pinto	פינטו
mccarthy	מקארתי
competition	תחרות
mendoza	מנדוסה
jericho	יריחו
wade	וייד
bronfman	ברונפמן
augustus	אוגוסטוס
via	ויה
vermont	ורמונט
cromwell	קרומוול
fernández	פרננדס
greg	גרג
pesaro	פזארו
theorem	משפט
yoram	יורם
rav	רב
alphabet	אלפבית
hakham	חכם
quintus	קווינטוס
modus	מודוס
eva	אווה
theatre	תיאטרון
malcolm	מלקולם
young	יאנג
violence	אלימות
tarif	טריף
binary	בינארי
dissociation	דיסוציאציה
eldar	אלדר
banai	בנאי
ashdod	אשדוד
organizational	ארגונית
sukhumi	סוחומי
hadassah	הדסה
derivative	נגזרת
porat	פורת
sally	סאלי
testing	בדיקות
peled	פלד
rubber	גומי
wes	וס
sonic	סוניק
sandy	סנדי
higgs	היגס
rokeach	רוקח
webster	ובסטר
assault	תקיפה
stockholm	סטוקהולם
rodrigo	רודריגו
dreyfus	דרייפוס
hen	חן
astana	אסטנה
christina	כריסטינה
spin	ספין
protein	חלבון
pop	פופ
amy	איימי
algorithm	אלגוריתם
herzliya	הרצליה
van	ואן
singapore	סינגפור
bay	מפרץ
douglas	דאגלס
duff	דאף
filter	מסנן
cushing	קושינג
mevo	מבוא
barbican	ברביקן
kiel	קיל
hubble	האבל
chełm	חלם
denver	דנוור
louisiana	לואיזיאנה
tapir	טפיר
video	וידאו
wrestling	היאבקות
battalion	גדוד
potemkin	פוטיומקין
schlesinger	שלזינגר
ismail	איסמעיל
rodney	רודני
herschel	הרשל
pahlavi	פהלווי
incubation	אינקובציה
bikini	ביקיני
camden	קמדן
pauli	פאולי
clive	קלייב
nadia	נדיה
ahva	אחווה
mercer	מרסר
kirk	קירק
potsdam	פוטסדאם
augusto	אוגוסטו
hormone	הורמון
orly	אורלי
schocken	שוקן
titanic	טיטניק
hebron	חברון
flores	פלורס
oman	עומאן
fonda	פונדה
rivera	ריברה
strela	סטרלה
archimedes	ארכימדס
connecticut	קונטיקט
somalia	סומליה
plymouth	פלימות
aristobulus	אריסטובולוס
mali	מאלי
dubai	דובאי
prison	כלא
senegal	סנגל
berlin	ברלין
israel	ישראל
line	קו
taranto	טאראנטו
bengal	בנגל
plus	פלוס
dizengoff	דיזנגוף
planck	פלאנק
anguilla	אנגווילה
hero	גיבור
pumice	פומיס
dassault	דאסו
jutland	יוטלנד
leipzig	לייפציג
segovia	סגוביה
